GeoFIPS,GeoName,Description,RPP 2023
0,United States,RPPs: All items ,100
999,United States (Nonmetropolitan Portion),RPPs: All items ,88.22
10180,"Abilene, TX (Metropolitan Statistical Area)",RPPs: All items ,89.85
10420,"Akron, OH (Metropolitan Statistical Area)",RPPs: All items ,92.83
10500,"Albany, GA (Metropolitan Statistical Area)",RPPs: All items ,86.41
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",RPPs: All items ,104.61
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",RPPs: All items ,97.58
10740,"Albuquerque, NM (Metropolitan Statistical Area)",RPPs: All items ,92.96
10780,"Alexandria, LA (Metropolitan Statistical Area)",RPPs: All items ,86.22
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",RPPs: All items ,98.44
11020,"Altoona, PA (Metropolitan Statistical Area)",RPPs: All items ,88.25
11100,"Amarillo, TX (Metropolitan Statistical Area)",RPPs: All items ,90.81
11180,"Ames, IA (Metropolitan Statistical Area)",RPPs: All items ,91.42
11260,"Anchorage, AK (Metropolitan Statistical Area)",RPPs: All items ,104.55
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",RPPs: All items ,97.97
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",RPPs: All items ,87.22
11540,"Appleton, WI (Metropolitan Statistical Area)",RPPs: All items ,93.6
11700,"Asheville, NC (Metropolitan Statistical Area)",RPPs: All items ,96.13
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",RPPs: All items ,93.28
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",RPPs: All items ,100.93
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",RPPs: All items ,97.17
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",RPPs: All items ,88.86
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",RPPs: All items ,91.03
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",RPPs: All items ,97.62
